Time,Refractive Index
1.319850000000000136e+02,8.409000000000000296e-05
1.339869999999999948e+02,1.674599999999999993e-04
1.359900000000000091e+02,3.312599999999999963e-04
1.379919999999999902e+02,6.330500000000000189e-04
1.399950000000000045e+02,1.013599999999999918e-03
1.419970000000000141e+02,1.386800000000000099e-03
1.440000000000000000e+02,1.680700000000000032e-03
1.460629999999999882e+02,1.936500000000000070e-03
1.480049999999999955e+02,2.129600000000000156e-03
1.500080000000000098e+02,2.295399999999999958e-03
1.520099999999999909e+02,2.420400000000000069e-03
1.540130000000000052e+02,2.510099999999999918e-03
1.560149999999999864e+02,2.584299999999999879e-03
1.580180000000000007e+02,2.659499999999999972e-03
1.600200000000000102e+02,2.703800000000000127e-03
1.620229999999999961e+02,2.738099999999999822e-03
1.639650000000000034e+02,2.781200000000000165e-03
1.659670000000000130e+02,2.799499999999999905e-03
1.679699999999999989e+02,2.819599999999999797e-03
1.699720000000000084e+02,2.843399999999999834e-03
1.719749999999999943e+02,2.862200000000000074e-03
1.739770000000000039e+02,2.871700000000000034e-03
1.759799999999999898e+02,2.884900000000000138e-03
1.779819999999999993e+02,2.903499999999999831e-03
