Time,Refractive Index
1.280409999999999968e+02,1.546100000000000122e-04
1.300430000000000064e+02,3.199300000000000082e-04
1.320459999999999923e+02,6.502500000000000033e-04
1.340480000000000018e+02,1.202200000000000057e-03
1.360509999999999877e+02,1.842200000000000001e-03
1.380529999999999973e+02,2.418099999999999850e-03
1.400560000000000116e+02,2.856800000000000051e-03
1.420579999999999927e+02,3.171499999999999840e-03
1.440610000000000070e+02,3.406600000000000079e-03
1.460629999999999882e+02,3.570999999999999956e-03
1.480660000000000025e+02,3.687800000000000192e-03
1.500080000000000098e+02,3.763999999999999985e-03
1.520099999999999909e+02,3.832900000000000196e-03
1.540740000000000123e+02,3.877699999999999984e-03
1.560149999999999864e+02,3.911900000000000273e-03
1.580180000000000007e+02,3.944600000000000363e-03
1.600200000000000102e+02,3.969699999999999618e-03
1.620840000000000032e+02,3.988300000000000178e-03
1.640260000000000105e+02,4.000700000000000263e-03
1.660279999999999916e+02,4.017100000000000011e-03
1.680310000000000059e+02,4.027099999999999604e-03
1.700329999999999870e+02,4.035799999999999978e-03
1.720360000000000014e+02,4.038800000000000376e-03
1.740380000000000109e+02,4.051700000000000093e-03
1.760409999999999968e+02,4.049200000000000195e-03
1.780430000000000064e+02,4.045799999999999570e-03
