Time,Refractive Index
1.600819999999999936e+02,1.002100000000000045e-04
1.620840000000000032e+02,2.084499999999999981e-04
1.640869999999999891e+02,4.364200000000000262e-04
1.660289999999999964e+02,7.378800000000000029e-04
1.680310000000000059e+02,1.076799999999999936e-03
1.700339999999999918e+02,1.374000000000000004e-03
1.720360000000000014e+02,1.616699999999999995e-03
1.740389999999999873e+02,1.805699999999999927e-03
1.760409999999999968e+02,1.962100000000000042e-03
1.780440000000000111e+02,2.087499999999999946e-03
1.801069999999999993e+02,2.184600000000000083e-03
1.820490000000000066e+02,2.255099999999999900e-03
1.840519999999999925e+02,2.325600000000000150e-03
1.860540000000000020e+02,2.376300000000000027e-03
1.880569999999999879e+02,2.407100000000000125e-03
1.900589999999999975e+02,2.439300000000000149e-03
1.920620000000000118e+02,2.472699999999999985e-03
1.940639999999999930e+02,2.491199999999999838e-03
1.960670000000000073e+02,2.506400000000000208e-03
1.980689999999999884e+02,2.520199999999999784e-03
