Time,Refractive Index
6.608299999999999841e+01,7.691500000000000474e-05
6.808599999999999852e+01,1.351699999999999950e-04
7.008799999999999386e+01,1.409500000000000108e-04
7.209099999999999397e+01,1.959999999999999937e-04
7.403300000000000125e+01,2.150400000000000011e-04
7.603499999999999659e+01,2.125299999999999997e-04
7.803799999999999670e+01,2.426499999999999892e-04
8.004000000000000625e+01,2.585399999999999743e-04
8.204300000000000637e+01,2.755599999999999977e-04
8.404500000000000171e+01,3.007800000000000035e-04
8.604800000000000182e+01,3.094300000000000240e-04
8.805100000000000193e+01,3.029099999999999848e-04
9.005299999999999727e+01,2.890200000000000212e-04
9.211599999999999966e+01,3.242899999999999732e-04
9.405800000000000693e+01,3.274700000000000072e-04
9.606100000000000705e+01,3.190700000000000198e-04
9.806300000000000239e+01,3.382400000000000142e-04
1.000660000000000025e+02,3.397799999999999757e-04
1.020679999999999978e+02,3.536200000000000194e-04
1.040709999999999980e+02,3.554399999999999986e-04
1.060729999999999933e+02,3.521099999999999881e-04
1.080759999999999934e+02,3.707699999999999755e-04
1.100780000000000030e+02,3.589800000000000087e-04
1.120810000000000031e+02,3.420100000000000137e-04
1.140829999999999984e+02,3.417599999999999805e-04
1.160859999999999985e+02,3.875199999999999760e-04
1.180889999999999986e+02,3.699999999999999947e-04
1.200300000000000011e+02,3.677800000000000058e-04
1.220330000000000013e+02,3.627600000000000030e-04
1.240349999999999966e+02,3.795599999999999777e-04
1.260379999999999967e+02,3.545900000000000050e-04
1.280399999999999920e+02,3.895099999999999756e-04
1.300430000000000064e+02,3.927700000000000223e-04
1.320459999999999923e+02,3.731000000000000158e-04
1.340480000000000018e+02,3.679700000000000158e-04
1.360509999999999877e+02,3.602500000000000016e-04
1.380529999999999973e+02,3.708299999999999986e-04
1.400560000000000116e+02,3.855600000000000151e-04
1.420579999999999927e+02,3.849699999999999954e-04
1.440610000000000070e+02,3.643399999999999981e-04
1.460629999999999882e+02,3.553399999999999961e-04
1.480660000000000025e+02,3.705299999999999913e-04
1.500680000000000121e+02,3.726000000000000037e-04
1.520709999999999980e+02,3.498299999999999760e-04
1.540730000000000075e+02,3.786799999999999997e-04
1.560759999999999934e+02,3.679500000000000262e-04
1.580790000000000077e+02,3.812299999999999803e-04
1.600809999999999889e+02,3.505399999999999879e-04
1.620840000000000032e+02,3.654700000000000093e-04
1.640860000000000127e+02,3.750100000000000026e-04
1.660889999999999986e+02,3.790399999999999759e-04
1.680310000000000059e+02,3.692200000000000191e-04
1.700329999999999870e+02,3.793800000000000167e-04
1.720360000000000014e+02,3.578100000000000182e-04
1.740380000000000109e+02,3.564500000000000177e-04
1.760409999999999968e+02,3.660700000000000238e-04
1.780430000000000064e+02,3.666300000000000049e-04
