Time,Refractive Index
8.604800000000000182e+01,1.295500000000000048e-04
8.811100000000000421e+01,2.742399999999999764e-04
9.005299999999999727e+01,5.369500000000000141e-04
9.205599999999999739e+01,9.671099999999999749e-04
9.411899999999999977e+01,1.434600000000000068e-03
9.606100000000000705e+01,1.848000000000000033e-03
9.806300000000000239e+01,2.190699999999999852e-03
1.000660000000000025e+02,2.457200000000000096e-03
1.020679999999999978e+02,2.651300000000000098e-03
1.040709999999999980e+02,2.820099999999999864e-03
1.060739999999999981e+02,2.943600000000000209e-03
1.080759999999999934e+02,3.052599999999999932e-03
1.100789999999999935e+02,3.131699999999999848e-03
1.120199999999999960e+02,3.191600000000000166e-03
1.140840000000000032e+02,3.243900000000000082e-03
1.160259999999999962e+02,3.282000000000000195e-03
1.180280000000000058e+02,3.305300000000000165e-03
1.200310000000000059e+02,3.330300000000000014e-03
1.220330000000000013e+02,3.354199999999999890e-03
1.240360000000000014e+02,3.373500000000000196e-03
1.260379999999999967e+02,3.390400000000000011e-03
1.280409999999999968e+02,3.389399999999999878e-03
1.300430000000000064e+02,3.406600000000000079e-03
1.320459999999999923e+02,3.423799999999999847e-03
1.340480000000000018e+02,3.422800000000000148e-03
1.360509999999999877e+02,3.428699999999999803e-03
1.381140000000000043e+02,3.444700000000000192e-03
1.400560000000000116e+02,3.444000000000000013e-03
1.420579999999999927e+02,3.454099999999999879e-03
1.440610000000000070e+02,3.462900000000000093e-03
1.460639999999999930e+02,3.459600000000000175e-03
1.480660000000000025e+02,3.471099999999999967e-03
1.500689999999999884e+02,3.476599999999999829e-03
1.520709999999999980e+02,3.478900000000000048e-03
1.540740000000000123e+02,3.487300000000000035e-03
1.560759999999999934e+02,3.479499999999999954e-03
1.580790000000000077e+02,3.482100000000000126e-03
1.600209999999999866e+02,3.490500000000000113e-03
1.620229999999999961e+02,3.484699999999999864e-03
1.640260000000000105e+02,3.489900000000000207e-03
1.660279999999999916e+02,3.495700000000000023e-03
1.680310000000000059e+02,3.497800000000000128e-03
1.700329999999999870e+02,3.502100000000000178e-03
1.720360000000000014e+02,3.504699999999999916e-03
1.740989999999999895e+02,3.507099999999999974e-03
1.760409999999999968e+02,3.504900000000000029e-03
1.780430000000000064e+02,3.505299999999999822e-03
