Time,Refractive Index
1.000049999999999955e+02,1.233600000000000115e-04
1.020079999999999956e+02,2.418699999999999865e-04
1.040109999999999957e+02,4.219499999999999835e-04
1.060130000000000052e+02,6.478999999999999733e-04
1.080160000000000053e+02,8.673399999999999730e-04
1.100180000000000007e+02,1.064000000000000059e-03
1.120210000000000008e+02,1.220699999999999910e-03
1.140229999999999961e+02,1.343999999999999926e-03
1.160259999999999962e+02,1.452299999999999902e-03
1.180280000000000058e+02,1.539100000000000060e-03
1.200310000000000059e+02,1.617799999999999967e-03
1.220330000000000013e+02,1.675300000000000010e-03
1.240360000000000014e+02,1.722000000000000006e-03
1.260379999999999967e+02,1.757000000000000098e-03
1.280409999999999968e+02,1.785099999999999968e-03
1.300430000000000064e+02,1.820800000000000023e-03
1.321069999999999993e+02,1.839600000000000046e-03
1.340490000000000066e+02,1.848999999999999949e-03
1.360509999999999877e+02,1.866299999999999990e-03
1.380540000000000020e+02,1.883200000000000022e-03
1.400560000000000116e+02,1.890399999999999980e-03
1.420589999999999975e+02,1.910900000000000098e-03
1.441220000000000141e+02,1.903200000000000074e-03
1.460639999999999930e+02,1.924300000000000099e-03
1.480060000000000002e+02,1.922400000000000107e-03
1.500080000000000098e+02,1.932200000000000020e-03
1.520709999999999980e+02,1.940600000000000007e-03
1.540130000000000052e+02,1.944399999999999991e-03
1.560159999999999911e+02,1.945200000000000011e-03
1.580180000000000007e+02,1.946599999999999936e-03
1.600209999999999866e+02,1.959799999999999823e-03
1.620229999999999961e+02,1.951000000000000043e-03
1.640260000000000105e+02,1.958899999999999964e-03
1.660279999999999916e+02,1.961800000000000089e-03
1.680310000000000059e+02,1.963400000000000128e-03
1.700329999999999870e+02,1.962300000000000155e-03
1.720360000000000014e+02,1.964599999999999940e-03
1.740389999999999873e+02,1.968199999999999811e-03
1.760409999999999968e+02,1.968500000000000198e-03
1.780440000000000111e+02,1.961300000000000023e-03
