Time,Refractive Index
1.399960000000000093e+02,6.304899999999999892e-05
1.419979999999999905e+02,1.343200000000000015e-04
1.440010000000000048e+02,2.691500000000000099e-04
1.460029999999999859e+02,5.060400000000000271e-04
1.480060000000000002e+02,7.820799999999999931e-04
1.500080000000000098e+02,1.038300000000000030e-03
1.520109999999999957e+02,1.253299999999999944e-03
1.540130000000000052e+02,1.431100000000000037e-03
1.559550000000000125e+02,1.587300000000000039e-03
1.579579999999999984e+02,1.700200000000000019e-03
1.599600000000000080e+02,1.797900000000000062e-03
1.619629999999999939e+02,1.874500000000000081e-03
1.639650000000000034e+02,1.934200000000000069e-03
1.659679999999999893e+02,1.986700000000000098e-03
1.679699999999999989e+02,2.027300000000000109e-03
1.699730000000000132e+02,2.059000000000000066e-03
1.719749999999999943e+02,2.088800000000000032e-03
1.739780000000000086e+02,2.104599999999999874e-03
1.759799999999999898e+02,2.125199999999999832e-03
1.779830000000000041e+02,2.139600000000000182e-03
1.799859999999999900e+02,2.153899999999999825e-03
