Time,Refractive Index
1.099579999999999984e+02,1.002299999999999941e-04
1.119599999999999937e+02,2.111600000000000044e-04
1.140229999999999961e+02,3.681800000000000155e-04
1.159650000000000034e+02,5.266399999999999857e-04
1.179680000000000035e+02,6.719099999999999552e-04
1.199699999999999989e+02,7.873900000000000083e-04
1.219729999999999990e+02,8.951700000000000369e-04
1.239749999999999943e+02,9.783999999999999295e-04
1.259779999999999944e+02,1.059499999999999895e-03
1.279800000000000040e+02,1.122699999999999913e-03
1.300440000000000111e+02,1.171500000000000015e-03
1.319850000000000136e+02,1.216700000000000030e-03
1.339879999999999995e+02,1.248600000000000100e-03
1.359900000000000091e+02,1.273800000000000062e-03
1.379929999999999950e+02,1.295499999999999994e-03
1.399960000000000093e+02,1.326799999999999941e-03
1.419979999999999905e+02,1.336200000000000061e-03
1.440010000000000048e+02,1.348699999999999986e-03
1.460029999999999859e+02,1.360700000000000061e-03
1.480060000000000002e+02,1.374599999999999910e-03
1.500080000000000098e+02,1.383600000000000021e-03
1.520109999999999957e+02,1.404999999999999999e-03
1.540130000000000052e+02,1.405500000000000065e-03
1.560159999999999911e+02,1.414300000000000062e-03
1.579579999999999984e+02,1.417999999999999990e-03
1.600209999999999866e+02,1.419799999999999925e-03
1.620229999999999961e+02,1.426100000000000024e-03
1.639650000000000034e+02,1.433400000000000039e-03
1.659679999999999893e+02,1.433199999999999925e-03
1.679699999999999989e+02,1.434600000000000068e-03
1.699730000000000132e+02,1.448300000000000021e-03
1.719749999999999943e+02,1.447399999999999945e-03
1.739780000000000086e+02,1.447600000000000059e-03
1.759799999999999898e+02,1.453199999999999978e-03
1.779830000000000041e+02,1.449699999999999947e-03
1.799859999999999900e+02,1.454800000000000017e-03
