Time,Refractive Index
6.802500000000000568e+01,-1.460200000000000012e-05
7.002800000000000580e+01,6.062599999999999858e-05
7.203100000000000591e+01,1.321499999999999867e-04
7.403300000000000125e+01,2.220299999999999867e-04
7.603600000000000136e+01,3.399400000000000013e-04
7.803799999999999670e+01,4.570399999999999745e-04
8.004099999999999682e+01,5.580799999999999693e-04
8.204300000000000637e+01,6.440400000000000204e-04
8.404600000000000648e+01,7.241700000000000003e-04
8.604800000000000182e+01,7.930300000000000153e-04
8.805100000000000193e+01,8.481600000000000380e-04
9.005299999999999727e+01,9.070400000000000164e-04
9.199500000000000455e+01,9.459899999999999603e-04
9.399800000000000466e+01,9.799100000000000692e-04
9.606100000000000705e+01,1.006200000000000063e-03
9.800300000000000011e+01,1.013299999999999965e-03
1.000049999999999955e+02,1.046499999999999904e-03
1.020079999999999956e+02,1.068900000000000015e-03
1.040100000000000051e+02,1.082099999999999902e-03
1.060130000000000052e+02,1.088299999999999945e-03
1.080150000000000006e+02,1.109900000000000036e-03
1.100180000000000007e+02,1.115300000000000059e-03
1.120810000000000031e+02,1.128799999999999899e-03
1.140229999999999961e+02,1.146399999999999893e-03
1.160259999999999962e+02,1.140399999999999964e-03
1.180280000000000058e+02,1.145799999999999987e-03
1.200310000000000059e+02,1.157400000000000052e-03
1.220330000000000013e+02,1.164200000000000000e-03
1.240360000000000014e+02,1.176200000000000075e-03
1.260379999999999967e+02,1.176799999999999981e-03
1.280409999999999968e+02,1.176900000000000038e-03
1.300430000000000064e+02,1.193599999999999956e-03
1.320459999999999923e+02,1.192600000000000040e-03
1.340480000000000018e+02,1.197799999999999950e-03
1.360509999999999877e+02,1.207399999999999966e-03
1.379929999999999950e+02,1.205700000000000088e-03
1.399950000000000045e+02,1.214800000000000038e-03
1.419979999999999905e+02,1.217999999999999899e-03
1.440000000000000000e+02,1.229099999999999897e-03
1.460029999999999859e+02,1.234499999999999920e-03
1.480049999999999955e+02,1.226199999999999990e-03
1.500080000000000098e+02,1.240800000000000019e-03
1.520109999999999957e+02,1.239199999999999980e-03
1.540130000000000052e+02,1.239400000000000094e-03
1.560159999999999911e+02,1.251399999999999952e-03
1.580180000000000007e+02,1.248699999999999940e-03
1.600209999999999866e+02,1.258500000000000070e-03
1.620229999999999961e+02,1.262099999999999941e-03
1.640260000000000105e+02,1.261299999999999921e-03
1.660279999999999916e+02,1.261100000000000025e-03
1.680310000000000059e+02,1.269200000000000059e-03
1.700329999999999870e+02,1.272300000000000080e-03
1.720360000000000014e+02,1.273800000000000062e-03
1.740380000000000109e+02,1.269399999999999955e-03
1.760409999999999968e+02,1.271299999999999947e-03
1.780440000000000111e+02,1.266699999999999944e-03
