Time; Refractive Index; Temperature; Comment
     0.000;0.0000e+000;2.0351e+001;
     2.003;-1.0952e-006;2.0330e+001;
     4.066;3.9895e-006;2.0331e+001;
     6.129;-2.9075e-007;2.0328e+001;
     8.071;6.1992e-006;2.0301e+001;
    10.074;8.3694e-006;2.0288e+001;
    12.076;4.4295e-006;2.0294e+001;
    14.079;-4.1010e-006;2.0290e+001;
    16.081;1.0942e-006;2.0285e+001;
    18.084;2.0987e-007;2.0275e+001;
    20.086;8.5220e-007;2.0279e+001;
    22.089;2.3624e-006;2.0278e+001;
    24.031;-4.1573e-007;2.0266e+001;
    26.033;-6.6508e-006;2.0276e+001;
    28.036;-5.4230e-006;2.0263e+001;
    30.038;-1.7687e-006;2.0280e+001;
    32.041;-3.1424e-006;2.0271e+001;
    34.044;-4.1855e-007;2.0268e+001;
    36.046;-2.9282e-006;2.0273e+001;
    38.049;-6.6279e-006;2.0281e+001;
    40.051;-6.1432e-006;2.0261e+001;
    42.054;-1.1975e-005;2.0265e+001;
    44.056;-4.3179e-006;2.0266e+001;
    46.059;-4.5931e-006;2.0261e+001;
    48.122;-1.1832e-005;2.0264e+001;
    50.064;-1.3391e-005;2.0264e+001;
    52.066;-8.1868e-006;2.0270e+001;
    54.069;-1.0126e-005;2.0262e+001;
    56.071;-1.3592e-005;2.0264e+001;
    58.074;-1.4429e-005;2.0270e+001;
    60.076;-1.6670e-005;2.0277e+001;
    62.079;-2.0603e-005;2.0300e+001;
    64.082;-1.3296e-005;2.0287e+001;
    66.145;-8.7390e-006;2.0291e+001;
    68.087;-1.2389e-005;2.0299e+001;
    70.028;-1.4079e-005;2.0306e+001;
    72.031;-1.9971e-005;2.0314e+001;
    74.034;-2.2763e-005;2.0313e+001;
    76.036;-2.3332e-005;2.0307e+001;
    78.039;-2.1395e-005;2.0310e+001;
    80.041;-2.0227e-005;2.0322e+001;
    82.104;-1.9541e-005;2.0319e+001;
    84.046;-2.1732e-005;2.0339e+001;
    86.049;-1.5328e-005;2.0336e+001;
    88.051;-2.0924e-005;2.0334e+001;
    90.054;-2.5585e-005;2.0333e+001;
    92.056;-2.2578e-005;2.0341e+001;
    94.059;-2.5510e-005;2.0346e+001;
    96.061;-2.3717e-005;2.0357e+001;
    98.064;-2.8114e-005;2.0356e+001;
   100.066;-2.0917e-005;2.0368e+001;
   102.069;-2.3459e-005;2.0395e+001;
   104.072;-2.7188e-005;2.0385e+001;
   106.074;-2.8425e-005;2.0382e+001;
   108.077;-2.8189e-005;2.0384e+001;
   110.079;-2.9982e-005;2.0397e+001;
